255,nahmias2007_v1,3DR23U6WE5F74YLYSJ66OCU5NFSETU,0,0,0,,,,,,,,,,,,,,,29082
92,nahmias2007_v1,3VP0C6EFSGXZEO2ZD4MWQA70C986M0,0,0,0,,,,,,,,,,,,,,,43382
213,nahmias2007_v1,3D3VGR7TA0GRELS9ZAKF56PQ8553RF,0,0,0,,,,,,,,,,,,,,,11622
213,nahmias2007_v1,3D3VGR7TA0GRELS9ZAKF56PQ8553RF,5924,0,0,,,,,,,,,,,TRUE,neuro,real,,0
255,nahmias2007_v1,3DR23U6WE5F74YLYSJ66OCU5NFSETU,10261,0,0,,,,,,,,,,,TRUE,neuro,real,,0
213,nahmias2007_v1,3D3VGR7TA0GRELS9ZAKF56PQ8553RF,13728,0,1,"If the neuroscientists are right, then people make decisions of their own free will.","If the neuroscientists are right, then people deserve to be praised for the good things they do","If the neuroscientists are right, then people's decisions are up to them.","If the neuroscientists are right, then people deserve to be blamed for the bad things they do.","If the neuroscientists are right, then people should be held morally responsible for their decisions.",strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,,neuro,real,,0
92,nahmias2007_v1,3VP0C6EFSGXZEO2ZD4MWQA70C986M0,23644,0,0,,,,,,,,,,,TRUE,neuro,ertan,,0
232,nahmias2007_v1,30ZX6P7VF8WLVFDDN5X1K5Y7SABJ2S,0,0,0,,,,,,,,,,,,,,,47461
213,nahmias2007_v1,3D3VGR7TA0GRELS9ZAKF56PQ8553RF,4073,0,1,,,,,,,,,,,,neuro,real,TRUE,0
255,nahmias2007_v1,3DR23U6WE5F74YLYSJ66OCU5NFSETU,20234,0,1,"If the neuroscientists are right, then people make decisions of their own free will.","If the neuroscientists are right, then people should be held morally responsible for their decisions.","If the neuroscientists are right, then people's decisions are up to them.","If the neuroscientists are right, then people deserve to be praised for the good things they do","If the neuroscientists are right, then people deserve to be blamed for the bad things they do.",somewhat disagree,somewhat disagree,somewhat disagree,somewhat agree,somewhat agree,,neuro,real,,0
11,nahmias2007_v1,33C7UALJVLZPMDZYDX0WQWFOKT3189,0,0,0,,,,,,,,,,,,,,,39150
60,nahmias2007_v1,3IXEICO792K3RJSJM1N8CO2S6H46T1,0,0,0,,,,,,,,,,,,,,,35908
232,nahmias2007_v1,30ZX6P7VF8WLVFDDN5X1K5Y7SABJ2S,12469,0,0,,,,,,,,,,,TRUE,psych,real,,0
255,nahmias2007_v1,3DR23U6WE5F74YLYSJ66OCU5NFSETU,8939,0,1,,,,,,,,,,,,neuro,real,TRUE,0
247,nahmias2007_v1,3KOPY89HM83AGX9WR5B63F3ZYOBJ33,0,0,0,,,,,,,,,,,,,,,42186
92,nahmias2007_v1,3VP0C6EFSGXZEO2ZD4MWQA70C986M0,22501,0,1,Ertan's decisions are up to them.,Ertans are able to make decisions of their own free will.,Ertans should be held morally responsible for their decisions.,"If an Ertan does something bad, then he or she deserves to be blamed for it.","If an Ertan does something good, then he or she deserves to be praised for it.",strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,,neuro,ertan,,0
148,nahmias2007_v1,31Q0U3WYDPGLMZUF3S8QCWJT99X17M,0,0,0,,,,,,,,,,,,,,,38236
92,nahmias2007_v1,3VP0C6EFSGXZEO2ZD4MWQA70C986M0,4097,0,1,,,,,,,,,,,,neuro,ertan,TRUE,0
245,nahmias2007_v1,3EF8EXOTT1WE6UVH41XNFMO204XJ1B,0,0,0,,,,,,,,,,,,,,,826
245,nahmias2007_v1,3EF8EXOTT1WE6UVH41XNFMO204XJ1B,2275,0,0,,,,,,,,,,,TRUE,neuro,real,,0
148,nahmias2007_v1,31Q0U3WYDPGLMZUF3S8QCWJT99X17M,8121,0,0,,,,,,,,,,,TRUE,psych,ertan,,0
60,nahmias2007_v1,3IXEICO792K3RJSJM1N8CO2S6H46T1,24666,0,0,,,,,,,,,,,TRUE,psych,real,,0
247,nahmias2007_v1,3KOPY89HM83AGX9WR5B63F3ZYOBJ33,16640,0,0,,,,,,,,,,,TRUE,psych,real,,0
245,nahmias2007_v1,3EF8EXOTT1WE6UVH41XNFMO204XJ1B,8416,0,1,"If the neuroscientists are right, then people make decisions of their own free will.","If the neuroscientists are right, then people deserve to be praised for the good things they do","If the neuroscientists are right, then people's decisions are up to them.","If the neuroscientists are right, then people deserve to be blamed for the bad things they do.","If the neuroscientists are right, then people should be held morally responsible for their decisions.",somewhat agree,agree,agree,strongly agree,agree,,neuro,real,,0
245,nahmias2007_v1,3EF8EXOTT1WE6UVH41XNFMO204XJ1B,1777,0,1,,,,,,,,,,,,neuro,real,TRUE,0
232,nahmias2007_v1,30ZX6P7VF8WLVFDDN5X1K5Y7SABJ2S,35724,0,1,"If the psychologists are right, then people deserve to be praised for the good things they do","If the psychologists are right, then people deserve to be blamed for the bad things they do.","If the psychologists are right, then people make decisions of their own free will.","If the psychologists are right, then people's decisions are up to them.","If the psychologists are right, then people should be held morally responsible for their decisions.",agree,agree,somewhat disagree,somewhat disagree,somewhat agree,,psych,real,,0
40,nahmias2007_v1,3G5W44VEU7J6LTR245I2NOSLHIGGK7,0,0,0,,,,,,,,,,,,,,,65226
148,nahmias2007_v1,31Q0U3WYDPGLMZUF3S8QCWJT99X17M,22103,0,1,"If an Ertan does something bad, then he or she deserves to be blamed for it.","If an Ertan does something good, then he or she deserves to be praised for it.",Ertan's decisions are up to them.,Ertans are able to make decisions of their own free will.,Ertans should be held morally responsible for their decisions.,somewhat agree,agree,agree,agree,agree,,psych,ertan,,0
232,nahmias2007_v1,30ZX6P7VF8WLVFDDN5X1K5Y7SABJ2S,5489,0,1,,,,,,,,,,,,psych,real,FALSE,0
148,nahmias2007_v1,31Q0U3WYDPGLMZUF3S8QCWJT99X17M,4478,0,1,,,,,,,,,,,,psych,ertan,TRUE,0
40,nahmias2007_v1,3G5W44VEU7J6LTR245I2NOSLHIGGK7,12633,0,0,,,,,,,,,,,TRUE,psych,ertan,,0
11,nahmias2007_v1,33C7UALJVLZPMDZYDX0WQWFOKT3189,64685,0,0,,,,,,,,,,,FALSE,psych,real,,0
133,nahmias2007_v1,3DZQRBDBSLG3F0SMEZKKVGUMU7O3S3,0,0,0,,,,,,,,,,,,,,,101434
60,nahmias2007_v1,3IXEICO792K3RJSJM1N8CO2S6H46T1,46477,0,1,"If the psychologists are right, then people's decisions are up to them.","If the psychologists are right, then people make decisions of their own free will.","If the psychologists are right, then people deserve to be blamed for the bad things they do.","If the psychologists are right, then people should be held morally responsible for their decisions.","If the psychologists are right, then people deserve to be praised for the good things they do",somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,,psych,real,,0
